critic_loss,duration,episode,episode_reward,goal_reached,honeypot,step
0.015811945450268993,451.93289041519165,0.0,-1294.0,0.0,0.0,969
-0.04724682242423296,496.66507267951965,1.0,-1387.0,0.0,0.0,1970
-0.17484935982897878,497.4492802619934,2.0,-1323.0,0.0,0.0,2971
-0.3716937023103237,494.31033968925476,3.0,-1368.0,0.0,0.0,3972
-0.6043883726820349,498.5075466632843,4.0,-1261.0,0.0,0.0,4973
-0.9297637057341636,505.46227049827576,5.0,-1162.0,0.0,0.0,5974
-1.321913707282394,495.3742518424988,6.0,-1213.0,0.0,0.0,6975
-1.746132507957518,494.9459342956543,7.0,-1198.0,0.0,0.0,7976
-2.2989686959460376,496.13189363479614,8.0,-1137.0,0.0,0.0,8977
-2.5749258293583988,495.8176808357239,9.0,-1303.0,0.0,0.0,9978
-3.2078557413816453,498.74401664733887,10.0,-1119.0,0.0,0.0,10979
-4.055686372324824,509.1477065086365,11.0,-1173.0,0.0,0.0,11980
-4.9814478768259285,514.2407405376434,12.0,-1204.0,0.0,0.0,12981
-5.268562673419714,507.425076007843,13.0,-1178.0,0.0,0.0,13982
-5.958018416628241,506.45376801490784,14.0,-1181.0,0.0,1.0,14983
-6.9511118973493575,518.3235552310944,15.0,-1360.0,0.0,1.0,15984
-8.357950944767454,283.7658965587616,16.0,-356.0,1.0,0.0,16424
-8.213810890988459,429.93707609176636,17.0,-919.0,1.0,1.0,17215
-9.629068832635879,507.5262699127197,18.0,-1233.0,0.0,0.0,18216
-10.44642391371727,507.73988103866577,19.0,-1181.0,0.0,0.0,19217
-11.040150499045849,510.20029520988464,20.0,-1241.0,0.0,1.0,20218
-12.819615154743195,508.0470857620239,21.0,-1189.0,0.0,0.0,21219
-13.266123314380646,504.62177443504333,22.0,-1254.0,0.0,0.0,22220
-14.699965854323143,486.92918586730957,23.0,-1069.0,1.0,0.0,23198
-15.851141556680203,511.83333134651184,24.0,-1270.0,0.0,0.0,24199
-17.83014125329256,501.8534302711487,25.0,-1231.0,0.0,0.0,25200
-19.01766534805022,454.5541594028473,26.0,-928.0,1.0,0.0,26065
-20.14987952464819,500.4107267856598,27.0,-1418.0,0.0,1.0,27066
-21.793787592632622,272.5492613315582,28.0,-751.0,1.0,1.0,27774
-22.438769353747368,502.56351113319397,29.0,-1308.0,0.0,0.0,28775
-23.81720286333561,506.16309881210327,30.0,-1414.0,0.0,0.0,29776
-26.454902125597002,503.65422224998474,31.0,-1218.0,0.0,0.0,30777
-26.024957230091093,499.93154096603394,32.0,-1300.0,0.0,0.0,31778
-28.60570684206486,507.7025442123413,33.0,-1267.0,0.0,0.0,32779
-31.949308759093284,503.58866119384766,34.0,-1278.0,0.0,1.0,33780
-32.65143329313398,499.15558910369873,35.0,-1364.0,0.0,1.0,34781
-35.36310583853443,483.8800046443939,36.0,-977.0,1.0,0.0,35723
-37.84139555066824,504.1950762271881,37.0,-1292.0,0.0,0.0,36724
-38.147303384780884,503.1247663497925,38.0,-1342.0,0.0,0.0,37725
-39.33421314239502,576.7190351486206,39.0,-1261.0,0.0,0.0,38726
-41.25777916353941,501.941358089447,40.0,-1175.0,0.0,0.0,39727
-42.70707363414765,515.8690812587738,41.0,-1153.0,0.0,0.0,40728
-46.154930843994386,510.9965932369232,42.0,-1173.0,1.0,1.0,41713
-46.85179125308991,505.9049382209778,43.0,-1191.0,0.0,0.0,42714
-47.82651781237126,509.0973365306854,44.0,-1248.0,0.0,0.0,43715
-52.43756633114815,509.16469979286194,45.0,-1369.0,0.0,0.0,44716
-54.745459885656835,515.5782291889191,46.0,-1226.0,0.0,0.0,45717
-59.41714101100711,448.50894141197205,47.0,-1041.0,1.0,1.0,46552
-56.493422098279,508.08393955230713,48.0,-1471.0,0.0,1.0,47553
-65.69183027815819,514.5608706474304,49.0,-1162.0,0.0,0.0,48554
-65.11123123502732,508.96543741226196,50.0,-1122.0,0.0,0.0,49555
-68.66589659202099,519.2363538742065,51.0,-1168.0,0.0,0.0,50556
-68.33731088638305,514.1578683853149,52.0,-1126.0,0.0,0.0,51557
-70.63849482750892,517.0213861465454,53.0,-1280.0,0.0,0.0,52558
-74.79248380231857,507.8356668949127,54.0,-1302.0,0.0,1.0,53559
-78.8061418787241,505.98487615585327,55.0,-1215.0,0.0,0.0,54560
-79.8666559689045,511.7479102611542,56.0,-1238.0,0.0,0.0,55561
-82.50265675640107,511.3389632701874,57.0,-1228.0,0.0,0.0,56562
-84.57420173692704,510.89630794525146,58.0,-1154.0,0.0,0.0,57563
-93.59028037190437,514.8319182395935,59.0,-1213.0,0.0,0.0,58564
-84.46404807674885,503.8510158061981,60.0,-1288.0,0.0,0.0,59565
-97.80336864441634,507.4639000892639,61.0,-1368.0,0.0,1.0,60566
-92.57075544047356,515.1962587833405,62.0,-1217.0,0.0,0.0,61567
-99.27651038885116,514.8033440113068,63.0,-1194.0,0.0,0.0,62568
-101.5317658996582,508.75455474853516,64.0,-1128.0,0.0,0.0,63569
-105.54164389920234,513.7941708564758,65.0,-1248.0,0.0,1.0,64570
-108.97176945209503,520.1677346229553,66.0,-1321.0,0.0,1.0,65571
