critic_loss,duration,episode,episode_reward,goal_reached,honeypot,step
0.015823657238617353,473.000292301178,0.0,-1411.0,0.0,0.0,969
-0.036859808113193136,474.5761353969574,1.0,-1543.0,0.0,0.0,1970
-0.18249757636897265,481.6392569541931,2.0,-1499.0,0.0,0.0,2971
-0.43229079044610264,482.79517364501953,3.0,-1392.0,0.0,0.0,3972
-0.7384959511011839,477.7402114868164,4.0,-1380.0,0.0,0.0,4973
-1.135063511505723,486.5789394378662,5.0,-1503.0,0.0,0.0,5974
-1.65649554810673,490.2464349269867,6.0,-1393.0,0.0,0.0,6975
-2.186909478671849,478.64803814888,7.0,-1428.0,0.0,0.0,7976
-2.9396033462621274,485.9866409301758,8.0,-1219.0,0.0,0.0,8977
-3.5466453713178634,496.3223044872284,9.0,-1383.0,0.0,0.0,9978
-3.9071551324278118,501.5473725795746,10.0,-1328.0,0.0,0.0,10979
-4.704987841717899,500.3167362213135,11.0,-1769.0,0.0,1.0,11980
-5.977416162761305,381.4682123661041,12.0,-712.0,1.0,0.0,12673
-6.2388006361686426,468.77133893966675,13.0,-1106.0,1.0,0.0,13588
-7.229367832422256,496.71932888031006,14.0,-1397.0,0.0,0.0,14589
-8.544652434825897,494.7159113883972,15.0,-1342.0,0.0,0.0,15590
-9.016640563532711,495.9384808540344,16.0,-1298.0,0.0,0.0,16591
-10.398878429204226,4844.894194841385,17.0,-1305.0,0.0,1.0,17592
-11.355507426977157,1234.333245754242,18.0,-1370.0,0.0,0.0,18593
-12.709921558380127,772.109827041626,19.0,-1328.0,0.0,0.0,19594
